"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"134","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81.3","GBR","M","_Z","2015","PT_POP_AGE"
"135","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"80.7","GBR","F","_Z","2015","PT_POP_AGE"
"136","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.6","GBR","_T","_Z","2015","PT_POP_AGE"
"137","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81","GBR","_T","_Z","2015","PT_POP_AGE"
"138","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"66.3","GBR","M","_Z","2015","PT_POP_AGE"
"139","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.8","GBR","F","_Z","2015","PT_POP_AGE"
"140","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"52.8","GBR","M","_Z","2015","PT_POP_AGE"
"141","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"66.7","GBR","_T","_Z","2015","PT_POP_AGE"
"142","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"65.2","GBR","_T","_Z","2016","PT_POP_AGE"
"143","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.1","GBR","M","_Z","2016","PT_POP_AGE"
"144","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"85.9","GBR","F","_Z","2016","PT_POP_AGE"
"145","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"65.3","GBR","M","_Z","2016","PT_POP_AGE"
"146","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.4","GBR","_T","_Z","2016","PT_POP_AGE"
"147","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.1","GBR","M","_Z","2016","PT_POP_AGE"
"148","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.7","GBR","_T","_Z","2016","PT_POP_AGE"
"149","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"65.2","GBR","F","_Z","2016","PT_POP_AGE"
"150","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"54.3","GBR","F","_Z","2016","PT_POP_AGE"
"151","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.3","GBR","F","_Z","2017","PT_POP_AGE"
"152","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"69.8","GBR","F","_Z","2017","PT_POP_AGE"
"153","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.4","GBR","_T","_Z","2017","PT_POP_AGE"
"154","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.9","GBR","M","_Z","2017","PT_POP_AGE"
"155","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.6","GBR","_T","_Z","2017","PT_POP_AGE"
"156","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.8","GBR","M","_Z","2017","PT_POP_AGE"
"157","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.3","GBR","F","_Z","2017","PT_POP_AGE"
"158","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.6","GBR","M","_Z","2017","PT_POP_AGE"
"159","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"71.8","GBR","_T","_Z","2017","PT_POP_AGE"
