"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"82","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.3","CHE","_T","_Z","2004","Y"
"83","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78.6","CHE","M","_Z","2004","Y"
"84","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.8","CHE","F","_Z","2004","Y"
"85","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84","CHE","F","_Z","2005","Y"
"86","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78.7","CHE","M","_Z","2005","Y"
"87","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.5","CHE","_T","_Z","2005","Y"
"88","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.8","CHE","_T","_Z","2006","Y"
"89","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.2","CHE","M","_Z","2006","Y"
"90","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.2","CHE","F","_Z","2006","Y"
"91","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.4","CHE","F","_Z","2007","Y"
"92","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.5","CHE","M","_Z","2007","Y"
"93","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82","CHE","_T","_Z","2007","Y"
"94","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.3","CHE","_T","_Z","2008","Y"
"95","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.8","CHE","M","_Z","2008","Y"
"96","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.6","CHE","F","_Z","2008","Y"
"97","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.6","CHE","F","_Z","2009","Y"
"98","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.9","CHE","M","_Z","2009","Y"
"99","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.3","CHE","_T","_Z","2009","Y"
"100","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.7","CHE","_T","_Z","2010","Y"
"101","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.3","CHE","M","_Z","2010","Y"
"102","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.9","CHE","F","_Z","2010","Y"
"103","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85","CHE","F","_Z","2011","Y"
"104","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.5","CHE","M","_Z","2011","Y"
"105","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.8","CHE","_T","_Z","2011","Y"
"106","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.8","CHE","_T","_Z","2012","Y"
"107","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.6","CHE","M","_Z","2012","Y"
"108","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.9","CHE","F","_Z","2012","Y"
"109","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85","CHE","F","_Z","2013","Y"
"110","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.7","CHE","M","_Z","2013","Y"
"111","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"82.9","CHE","_T","_Z","2013","Y"
"112","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.3","CHE","_T","_Z","2014","Y"
"113","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.1","CHE","M","_Z","2014","Y"
"114","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.4","CHE","F","_Z","2014","Y"
"115","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.1","CHE","F","_Z","2015","Y"
"116","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.8","CHE","M","_Z","2015","Y"
"117","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83","CHE","_T","_Z","2015","Y"
"118","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"83.7","CHE","_T","_Z","2016","Y"
"119","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"81.7","CHE","M","_Z","2016","Y"
"120","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"85.6","CHE","F","_Z","2016","Y"
